"ts_code","symbol","name","area","industry","cnspell","market","list_date","act_name","act_ent_type","delist_date","list_status","fullname","enname","exchange","curr_type","is_hs"
"002921.SZ","002921","联诚精密","山东","汽车配件","lcjm","主板","20171227","郭元强","外资企业","","L","山东联诚精密制造股份有限公司","Shandong Liancheng Precision Manufacturing Co., Ltd","SZSE","CNY","N"
"002922.SZ","002922","伊戈尔","广东","电气设备","yge","主板","20171229","","","","L","伊戈尔电气股份有限公司","Eaglerise Electric & Electronic (China) Co., Ltd","SZSE","CNY","S"
"002923.SZ","002923","润都股份","广东","化学制药","rdgf","主板","20180105","李希","民营企业","","L","珠海润都制药股份有限公司","Zhuhai Rundu Pharmaceutical Co., Ltd.","SZSE","CNY","N"
"002925.SZ","002925","盈趣科技","福建","元器件","yqkj","主板","20180115","吴凯庭","外资企业","","L","厦门盈趣科技股份有限公司","Xiamen Intretech Inc.","SZSE","CNY","S"
"002926.SZ","002926","华西证券","四川","证券","hxzq","主板","20180205","泸州市国有资产监督管理委员会","地方国企","","L","华西证券股份有限公司","Huaxi Securities Co., Ltd.","SZSE","CNY","S"
"002927.SZ","002927","泰永长征","贵州","电气设备","tycz","主板","20180223","","","","L","贵州泰永长征技术股份有限公司","Guizhou Taiyong-Changzheng Technology Co.,Ltd.","SZSE","CNY","N"
"002928.SZ","002928","华夏航空","贵州","空运","hxhk","主板","20180302","胡晓军","民营企业","","L","华夏航空股份有限公司","China Express Airlines Co.,LTD","SZSE","CNY","S"
"002929.SZ","002929","润建股份","广西","通信设备","rjgf","主板","20180301","","","","L","润建股份有限公司","Runjian Co., Ltd.","SZSE","CNY","S"
"002930.SZ","002930","宏川智慧","广东","仓储物流","hczh","主板","20180328","","","","L","广东宏川智慧物流股份有限公司","Guangdong Great River Smarter Logistics Co.,Ltd","SZSE","CNY","S"
"002931.SZ","002931","锋龙股份","浙江","机械基件","flgf","主板","20180403","","","","L","浙江锋龙电气股份有限公司","Zhejiang Fenglong Electric Co.,Ltd.","SZSE","CNY","N"
"002932.SZ","002932","明德生物","湖北","医疗保健","mdsw","主板","20180710","陈莉莉","民营企业","","L","武汉明德生物科技股份有限公司","Wuhan Easy Diagnosis Biomedicine Co.,Ltd.","SZSE","CNY","S"
"002933.SZ","002933","新兴装备","北京","航空","xxzb","主板","20180828","陕西省人民政府国有资产监督管理委员会","地方国企","","L","北京新兴东方航空装备股份有限公司","Beijing Emerging Eastern Aviation Equipment Co., Ltd.","SZSE","CNY","N"
"002935.SZ","002935","天奥电子","四川","航空","tadz","主板","20180903","","","","L","成都天奥电子股份有限公司","Chengdu Spaceon Electronics Co.,Ltd.","SZSE","CNY","S"
"002936.SZ","002936","郑州银行","河南","银行","zzyh","主板","20180919","","","","L","郑州银行股份有限公司","Bank of Zhengzhou Co., Ltd.","SZSE","CNY","S"
"002937.SZ","002937","兴瑞科技","浙江","元器件","xrkj","主板","20180926","","","","L","宁波兴瑞电子科技股份有限公司","Ningbo Sunrise Elc Technology Co.,Ltd","SZSE","CNY","S"
"002938.SZ","002938","鹏鼎控股","深圳","元器件","pdkg","主板","20180918","","","","L","鹏鼎控股(深圳)股份有限公司","Avary Holding (Shenzhen) Co., Limited","SZSE","CNY","S"
"002939.SZ","002939","长城证券","深圳","证券","cczq","主板","20181026","中国华能集团有限公司","中央国企","","L","长城证券股份有限公司","China Great Wall Securities Co.,Ltd.","SZSE","CNY","S"
"002940.SZ","002940","昂利康","浙江","化学制药","alk","主板","20181023","","","","L","浙江昂利康制药股份有限公司","Zhejiang Anglikang Pharmaceutical Co.,Ltd.","SZSE","CNY","N"
"002941.SZ","002941","新疆交建","新疆","建筑工程","xjjj","主板","20181128","新疆维吾尔自治区人民政府国有资产监督管理委员会","地方国企","","L","新疆交通建设集团股份有限公司","Xinjiang Communications Construction Group Co.,Ltd.","SZSE","CNY","S"
"002942.SZ","002942","新农股份","浙江","农药化肥","xngf","主板","20181205","","","","L","浙江新农化工股份有限公司","Zhejiang Xinnong Chemical Co.,Ltd.","SZSE","CNY","N"
"002943.SZ","002943","宇晶股份","湖南","机床制造","yjgf","主板","20181129","杨宇红","民营企业","","L","湖南宇晶机器股份有限公司","Hunan Yujing Machinery Co., Ltd.","SZSE","CNY","N"
"002945.SZ","002945","华林证券","西藏","证券","hlzq","主板","20190117","","","","L","华林证券股份有限公司","Chinalin Securities Co.,Ltd","SZSE","CNY","S"
"002946.SZ","002946","新乳业","四川","乳制品","xry","主板","20190125","Liu Chang","外资企业","","L","新希望乳业股份有限公司","New Hope Dairy Co., Ltd.","SZSE","CNY","S"
"002947.SZ","002947","恒铭达","江苏","元器件","hmd","主板","20190201","","","","L","苏州恒铭达电子科技股份有限公司","Suzhou Hengmingda Electronic Technology Co., Ltd","SZSE","CNY","S"
"002948.SZ","002948","青岛银行","山东","银行","qdyh","主板","20190116","","","","L","青岛银行股份有限公司","Bank of Qingdao Co.,Ltd.","SZSE","CNY","S"
"002949.SZ","002949","华阳国际","深圳","建筑工程","hygj","主板","20190226","","","","L","深圳市华阳国际工程设计股份有限公司","Shenzhen Capol International & Associates Co.,Ltd","SZSE","CNY","N"
"002950.SZ","002950","奥美医疗","湖北","医疗保健","amyl","主板","20190311","崔金海","外资企业","","L","奥美医疗用品股份有限公司","Allmed Medical Products Co.,Ltd","SZSE","CNY","S"
